nn1_max50_target_mean,nn1_max100_target_mean,nn1_max200_target_mean,nn1_max500_target_mean,nn3_max50_target_mean,nn3_max100_target_mean,nn3_max200_target_mean,nn3_max500_target_mean,nn5_max50_target_mean,nn5_max100_target_mean,nn5_max200_target_mean,nn5_max500_target_mean,nn10_max50_target_mean,nn10_max100_target_mean,nn10_max200_target_mean,nn10_max500_target_mean,nn1_max50_count,nn1_max100_count,nn1_max200_count,nn1_max500_count,nn3_max50_count,nn3_max100_count,nn3_max200_count,nn3_max500_count,nn5_max50_count,nn5_max100_count,nn5_max200_count,nn5_max500_count,nn10_max50_count,nn10_max100_count,nn10_max200_count,nn10_max500_count,nn1_max50_dist_mean,nn1_max100_dist_mean,nn1_max200_dist_mean,nn1_max500_dist_mean,nn3_max50_dist_mean,nn3_max100_dist_mean,nn3_max200_dist_mean,nn3_max500_dist_mean,nn5_max50_dist_mean,nn5_max100_dist_mean,nn5_max200_dist_mean,nn5_max500_dist_mean,nn10_max50_dist_mean,nn10_max100_dist_mean,nn10_max200_dist_mean,nn10_max500_dist_mean,dist_to_nearest_underperf,dist_to_nearest_normal,underperforming
1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4,0.6,0.4,1.0,0.5555555555555556,0.5,0.7,1,1,1,1,2,3,3,3,2,5,5,5,2,9,10,10,23.821224598049394,91.04044145214431,146.9436171733036,302.07822691079934,36.22953434670431,63.48766042697335,135.4472056767909,236.22788746615083,36.22953434670431,66.8649486801331,111.92670040619062,238.20398292804202,36.22953434670431,66.22776154985003,100.09316723270796,308.53710413523413,146.9436171733036,302.07822691079934,1
1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.6,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,17.144547282242677,17.144547282242677,17.144547282242677,17.144547282242677,26.505610417398373,26.505610417398373,26.505610417398373,26.505610417398373,18.88089599140961,18.88089599140961,18.88089599140961,18.88089599140961,22.35086086573352,22.35086086573352,22.35086086573352,22.35086086573352,17.144547282242677,27.135045867800223,1
1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.6,0.4,0.4,0.25,0.4,0.3,0.3,1,1,1,1,3,3,3,3,4,5,5,5,4,10,10,10,42.13083380496086,83.93392964380078,83.93392964380078,83.93392964380078,37.68149877606547,58.959537225368386,88.03602324253735,88.03602324253735,37.2473072059781,69.99607236936241,85.87148092914494,85.87148092914494,37.2473072059781,75.80833508012026,106.93326715528337,120.6072183350331,83.93392964380078,138.04330627885042,1
1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8,0.4,1.0,1.0,0.6,0.5,0.8,0.6,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,26.83522609110427,26.83522609110427,26.83522609110427,26.83522609110427,21.01431471834141,55.82324781420463,82.30422996068413,82.30422996068413,27.343991110141747,59.16775954523329,89.4695180967856,89.4695180967856,31.78427650977377,67.35394111411384,116.31301058136414,139.05900757809763,26.83522609110427,125.5425462218635,1
0.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.2,0.4,0.8,0.4,0.3333333333333333,0.4,0.4,0.5,1,1,1,1,3,3,3,3,5,5,5,5,6,10,10,10,45.188266125712644,87.94598717667421,160.6693025402928,268.03034239448266,31.69524260745699,75.1721286628577,105.6375008510931,278.10189561627993,27.476440978290007,68.9097158560608,119.76883926560008,355.5522647390175,24.689454459073488,60.2951510115117,127.39508064413262,287.92349965079995,160.6693025402928,268.03034239448266,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,20.15902676733166,20.15902676733166,20.15902676733166,20.15902676733166,31.031771910878803,31.031771910878803,31.031771910878803,31.031771910878803,30.233411505022595,47.98370686290679,47.98370686290679,47.98370686290679,30.237055312110023,50.502413396674896,62.575444041533935,85.98480832122388,271.00801009583347,20.15902676733166,0
1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6,0.6,0.6,0.4,0.5,0.5,0.5,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,29.596864887518933,29.596864887518933,29.596864887518933,29.596864887518933,25.817066783551056,25.817066783551056,25.817066783551056,25.817066783551056,30.457207987172,30.457207987172,30.457207987172,30.457207987172,30.685587229036184,33.13476356077183,33.13476356077183,33.13476356077183,29.596864887518933,26.217144131517703,0
0.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.4,0.6,0.6,0.2,0.4,0.3,0.3,0.3,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,42.2678244004495,67.97682741011275,67.97682741011275,67.97682741011275,31.463933491176387,69.29558956602088,120.87005535520014,174.40572943669477,28.12614156263741,63.24345155706559,100.50402147071006,163.5701053931144,33.58844556923996,63.560249463374724,106.66236441561504,121.39896304289077,67.97682741011275,242.74438181672193,0
0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.4,0.6,0.4,0.2,0.4,0.5,0.4,0.3,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,42.007100452604746,42.007100452604746,42.007100452604746,42.007100452604746,40.096779817209075,55.15320649207274,140.49991145978206,140.49991145978206,32.69040719382871,56.053151369327466,130.8989492908341,166.54075832224098,25.288357181419883,52.13672069583207,122.2039392606938,182.71360533836747,171.81617483904506,42.007100452604746,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.2,0.1,0.0,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,44.03471664994549,50.30995012549983,50.30995012549983,50.30995012549983,36.17560755106154,70.54264509508306,100.76853531294525,100.76853531294525,30.61499258183222,72.94024731921354,98.85432042533586,123.56298065091342,36.31277386952936,77.83974179636407,110.00106145734465,129.74801481727266,333.0960152425157,50.30995012549983,0
